,name,department,rating,total_ratings,would take again,difficulty
0,Lynda Cleveland,Business,2.6,24 ratings,0%,3.2
1,Paul Hudson,Geography,3.8,9 ratings,N/A,4.1
2,James Enelow,Political Science,2.9,57 ratings,67%,3.1
3,William Doolittle,Geography,4.8,17 ratings,100%,3.4
4,Bruce Palka,Mathematics,3.7,6 ratings,N/A,3.5
5,John Murphy,Communication,3.8,29 ratings,N/A,4.3
6,Marc Lewis,Psychology,4.2,34 ratings,100%,2.6
7,Josh Dever,Philosophy,4.1,13 ratings,100%,3.9
8,David Sosa,Philosophy,4.4,4 ratings,N/A,2.5
9,David Edwards,Political Science,3.1,27 ratings,N/A,4
10,Manuel Ramirez,Psychology,2.4,37 ratings,55%,4.1
11,Corinne Irwin,Mathematics,4.8,25 ratings,N/A,1.8
12,Gary Berg,Mathematics,2.1,40 ratings,100%,3.4
13,Sharon Jasper,Biology,3.2,9 ratings,N/A,3
14,Alan Bovik,Engineering,4.5,7 ratings,80%,3.6
15,Bruce Buchanan,Political Science,4.0,13 ratings,0%,3.2
16,Gene Kincaid,Communication,3.8,7 ratings,N/A,3.7
17,Lino Graglia,Law,2.9,9 ratings,N/A,3.3
18,Joydeep Ghosh,Engineering,0.0,0 ratings,100%,0
19,Michael Garrison,Architecture,3.6,6 ratings,100%,4.2
20,Robert Jensen,Journalism,3.9,99 ratings,68%,1.9
21,Herbert Hochberg,Philosophy,2.1,8 ratings,N/A,3.3
22,David Fonken,Mathematics,4.8,9 ratings,N/A,3.4
23,Joseph Kruppa,English,4.4,9 ratings,N/A,2
24,Beverly Finklea,Biology,3.8,33 ratings,N/A,4.5
25,Edward Robinson,Science,2.7,74 ratings,56%,3.5
26,Mark Gergen,Law,2.5,7 ratings,N/A,3.7
27,Duana Dinitto,Social Science,0.0,0 ratings,N/A,0
28,Jarvis Ulbricht,Fine Arts,3.2,5 ratings,100%,2.6
29,Joan Holladay,Fine Arts,4.1,15 ratings,67%,3.5
30,Juan Salinas,Psychology,3.0,42 ratings,0%,2.7
31,David Hillis,Biology,4.8,4 ratings,100%,4
32,Dena Granof,Communication,4.6,6 ratings,N/A,1.7
33,Kurt Weyland,Social Science,3.9,39 ratings,66%,3.8
34,Mia Carter,English,4.8,10 ratings,86%,4
35,Larry Sager,Law,3.0,12 ratings,100%,3.9
36,Jim Glavan,Theater,4.3,9 ratings,100%,3.3
37,Muir McPherson,Business,0.0,0 ratings,N/A,0
38,Mathew Hayward,Business,0.0,0 ratings,N/A,0
39,Edward Odell,Mathematics,3.5,8 ratings,N/A,4
40,Burton Pierson,Biology,3.5,26 ratings,N/A,4.6
41,Richard Jones,Chemistry,4.3,32 ratings,89%,2.7
42,Robyn Honig,Psychology,0.0,0 ratings,N/A,0
43,John Gilbert,Mathematics,3.9,24 ratings,63%,3.1
44,John Batterton,Biology,3.1,93 ratings,48%,3.8
45,Stephen G Bronars,Economics,2.7,3 ratings,N/A,1.3
46,Chandrajit Bajaj,Computer Science,2.7,7 ratings,100%,3.1
47,Samer Ali,Literature,3.6,8 ratings,N/A,2.6
48,Rafael De La Llave,Mathematics,2.9,8 ratings,N/A,2.4
49,Kamran Aghaie,History,2.9,17 ratings,50%,3.7
50,John Ivy,Health Science,5.0,1 ratings,N/A,1
51,Ed Coyle,Health Science,3.5,4 ratings,N/A,3.5
52,Roger Farrar,Health Science,3.4,5 ratings,N/A,4.2
53,Penny A. Green,Sociology,3.6,43 ratings,75%,3.2
54,Karrol A. Kitt,Humanities,2.5,13 ratings,N/A,3.2
55,Mark Bierner,Biology,4.1,21 ratings,100%,2.3
56,Karl Galinsky,Classics,3.8,40 ratings,70%,3.3
57,Stuart Reifel,Education,4.3,4 ratings,N/A,2.3
58,James Schiek,English,2.5,3 ratings,N/A,4
59,Louise Wolitz,Economics,2.8,5 ratings,N/A,3.6
60,Phil Kushner,Mathematics,2.6,26 ratings,N/A,3.7
61,Scot Powe,Law,4.2,6 ratings,100%,3.3
